,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,54.00,62.00,1525.29,0.25,0.00,225.48,51.565,1.073
,Mixed / non conventional,72.00,65.00,62.00,70.00,-557.85,0.24,0.00,48.43,50.804,1.073
,Mixed / non conventional,72.00,65.00,70.00,61.00,211.24,0.33,0.00,-190.39,17.511,1.134
,Mixed / non conventional,72.00,65.00,15.00,23.00,416273.94,0.37,0.00,-77.93,50.624,0.808
,Mixed / non conventional,72.00,65.00,23.00,14.00,760171.31,0.37,0.00,-85.68,-101.217,0.808
,Mixed / non conventional,72.00,65.00,14.00,5.00,3725181.50,2.94,0.00,57.97,-47.204,0.127
,Mixed / non conventional,72.00,65.00,34.00,43.00,69890.33,0.69,0.00,242.58,50.612,0.905
,Mixed / non conventional,72.00,65.00,43.00,36.00,205751.23,0.68,0.00,-164.42,-126.402,0.905
,Mixed / non conventional,72.00,65.00,52.00,61.00,334.82,0.26,0.00,-40.80,7.976,1.133
,Mixed / non conventional,72.00,65.00,61.00,54.00,5637.50,0.32,0.00,-83.42,-125.737,1.133
,Mixed / non conventional,72.00,65.00,54.00,45.00,7248.32,0.67,0.00,102.79,-29.118,1.127
,Mixed / non conventional,72.00,65.00,45.00,36.00,47197.36,0.67,0.00,40.85,-52.991,1.127
,Mixed / non conventional,72.00,65.00,36.00,29.00,350182.28,0.11,0.00,-52.62,-49.795,0.409
,Mixed / non conventional,72.00,65.00,44.00,53.00,9650.39,0.13,0.00,-84.72,32.472,1.125
,Mixed / non conventional,72.00,65.00,53.00,62.00,146.28,0.17,0.00,203.96,5.306,1.125
,Mixed / non conventional,72.00,65.00,28.00,37.00,133979.27,0.22,0.00,-151.41,68.583,1.131
,Mixed / non conventional,72.00,65.00,37.00,46.00,40071.30,0.20,0.00,-46.68,50.699,1.131
