,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,37.00,29.00,249289.09,0.53,0.00,47.58,-115.203,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,29.00,21.00,540385.44,0.53,0.00,-16.98,-133.638,1.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,68.00,67.00,4839.76,1.50,0.00,-72.17,90.578,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,67.00,66.00,3116.32,1.49,0.00,-241.61,143.565,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,66.00,58.00,1737.93,1.49,0.00,-285.99,-114.378,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,58.00,50.00,26232.19,1.49,0.00,99.74,-113.786,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,50.00,42.00,91641.84,1.50,0.00,160.38,-87.607,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,42.00,33.00,127817.63,1.50,0.00,-7.79,-50.080,0.543,MA72B65Rec
,Mixed / non conventional,72.00,65.00,70.00,63.00,-714.53,0.54,0.00,200.20,-50.362,0.643,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,5.00,-9081082.00,0.97,0.00,7.75,-50.460,0.650,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,15.00,4917618.50,1.28,0.00,228.78,56.292,0.802,MA72B65Rec
,Mixed / non conventional,72.00,65.00,15.00,7.00,660816.75,1.27,0.00,-155.61,-50.559,0.802,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,23.00,2018625.75,0.44,0.00,156.91,52.184,1.116,MA72B65Rec
,Mixed / non conventional,72.00,65.00,23.00,31.00,299186.97,0.46,0.00,33.05,86.095,1.116,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,30.00,339723.19,0.49,0.00,-192.55,-15.665,1.116,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,22.00,450237.41,1.27,0.00,-0.92,-50.289,0.466,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,48.00,42066.45,0.56,0.00,-320.86,62.463,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,48.00,47.00,-46764.01,0.58,0.00,176.19,13.226,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,39.00,54295.18,0.56,0.00,-20.76,-70.937,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,31.00,147362.06,0.56,0.00,-34.62,-81.649,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,31.00,22.00,440005.28,0.57,0.00,-190.46,-137.223,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,14.00,786143.94,0.56,0.00,-78.42,-123.488,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,6.00,1873799.00,0.54,0.00,111.76,-188.259,1.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,40.00,-48165.64,0.42,0.00,165.79,-5.017,1.106,MA72B65Rec
,Mixed / non conventional,72.00,65.00,40.00,31.00,116837.30,0.23,0.00,-199.43,-76.715,1.106,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,39.00,-70965.54,0.40,0.00,191.53,-6.632,1.101,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,64.00,305.19,0.34,0.00,73.85,44.111,1.099,MA72B65Rec
,Mixed / non conventional,72.00,65.00,64.00,63.00,-253.09,0.34,0.00,-15.90,21.518,1.099,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,55.00,893.30,0.34,0.00,-22.49,-54.327,1.099,MA72B65Rec
,Mixed / non conventional,72.00,65.00,55.00,46.00,8033.80,0.35,0.00,-389.13,-37.948,1.099,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,47.00,-59610.08,0.32,0.00,346.71,-14.445,1.099,MA72B65Rec
,Mixed / non conventional,72.00,65.00,47.00,56.00,6985.27,0.99,0.00,7.76,40.773,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,56.00,48.00,9689.51,1.00,0.00,-184.06,-53.818,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,48.00,39.00,36430.13,0.99,0.00,155.47,-57.885,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,39.00,32.00,126652.83,1.00,0.00,-50.04,-63.861,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,23.00,306827.47,0.98,0.00,-16.32,-103.032,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,51.00,52.00,-150344.84,0.28,0.00,-161.47,-73.365,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,52.00,44.00,40584.96,0.28,0.00,-94.36,-95.528,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,44.00,35.00,62710.00,0.27,0.00,398.98,-55.024,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,27.00,317000.78,0.28,0.00,-145.48,-109.935,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,18.00,238537.73,0.23,0.00,-355.92,-49.928,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,11.00,1690075.50,0.27,0.00,217.01,-167.669,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,4.00,6508243.00,0.24,0.00,24.72,-446.275,0.985,MA72B65Rec
,Mixed / non conventional,72.00,65.00,70.00,69.00,2143.84,0.44,0.00,1.18,50.985,0.690,MA72B65Rec
,Mixed / non conventional,72.00,65.00,59.00,60.00,-31368.07,1.24,0.00,-371.40,-149.022,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,60.00,52.00,6155.65,1.23,0.00,42.60,-97.480,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,52.00,43.00,18299.21,1.24,0.00,293.40,-51.507,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,43.00,35.00,140822.14,1.22,0.00,11.67,-115.933,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,35.00,26.00,189167.11,1.23,0.00,-465.06,-80.259,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,19.00,860371.63,1.23,0.00,67.19,-156.478,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,12.00,2159427.25,1.22,0.00,184.84,-255.281,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,3.00,150692.17,1.69,0.00,-71.35,-15.023,1.109,MA72B65Rec
,Mixed / non conventional,72.00,65.00,61.00,62.00,-5115.10,1.58,0.00,-59.81,-65.995,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,62.00,63.00,-1387.59,1.58,0.00,351.75,-37.510,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,63.00,54.00,310.92,1.63,0.00,-381.10,-19.102,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,54.00,46.00,19562.46,1.57,0.00,-29.74,-72.016,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,46.00,38.00,68625.55,1.59,0.00,134.74,-78.052,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,38.00,30.00,206355.06,1.59,0.00,-34.66,-102.683,1.092,MA72B65Rec
